--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
CPU type:	Intel Icelake SP processor
CPU clock:	2.39 GHz
--------------------------------------------------------------------------------
Running problem size 60^3 per domain until completion
Num processors: 1
Num threads: 1
Total number of elements: 216000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 1, time = 6.852019e-07, dt=6.852019e-07
cycle = 56, time = 1.460414e-05, dt=2.753625e-07
cycle = 57, time = 1.487951e-05, dt=2.753625e-07
cycle = 58, time = 1.518451e-05, dt=3.049994e-07
cycle = 59, time = 1.548951e-05, dt=3.049994e-07
cycle = 60, time = 1.582709e-05, dt=3.375868e-07
cycle = 61, time = 1.616468e-05, dt=3.375868e-07
cycle = 62, time = 1.654155e-05, dt=3.768751e-07
cycle = 63, time = 1.691843e-05, dt=3.768751e-07
cycle = 64, time = 1.729530e-05, dt=3.768751e-07
cycle = 65, time = 1.767218e-05, dt=3.768751e-07
cycle = 66, time = 1.804905e-05, dt=3.768751e-07
cycle = 67, time = 1.842593e-05, dt=3.768751e-07
cycle = 68, time = 1.880281e-05, dt=3.768751e-07
cycle = 69, time = 1.917968e-05, dt=3.768751e-07
cycle = 70, time = 1.955656e-05, dt=3.768751e-07
cycle = 71, time = 1.993343e-05, dt=3.768751e-07
cycle = 72, time = 2.031031e-05, dt=3.768751e-07
cycle = 73, time = 2.068718e-05, dt=3.768751e-07
cycle = 74, time = 2.106406e-05, dt=3.768751e-07
cycle = 75, time = 2.144093e-05, dt=3.768751e-07
cycle = 76, time = 2.181781e-05, dt=3.768751e-07
cycle = 77, time = 2.219468e-05, dt=3.768751e-07
cycle = 78, time = 2.257156e-05, dt=3.768751e-07
cycle = 79, time = 2.294843e-05, dt=3.768751e-07
cycle = 80, time = 2.332472e-05, dt=3.762917e-07
cycle = 81, time = 2.369355e-05, dt=3.688276e-07
cycle = 82, time = 2.405598e-05, dt=3.624289e-07
cycle = 83, time = 2.441317e-05, dt=3.571953e-07
cycle = 84, time = 2.476627e-05, dt=3.530923e-07
cycle = 85, time = 2.511638e-05, dt=3.501154e-07
cycle = 86, time = 2.546459e-05, dt=3.482050e-07
cycle = 87, time = 2.581190e-05, dt=3.473138e-07
cycle = 88, time = 2.615922e-05, dt=3.473138e-07
cycle = 89, time = 2.650653e-05, dt=3.473138e-07
cycle = 90, time = 2.685384e-05, dt=3.473138e-07
cycle = 91, time = 2.720116e-05, dt=3.473138e-07
cycle = 92, time = 2.754847e-05, dt=3.473138e-07
cycle = 93, time = 2.789578e-05, dt=3.473138e-07
cycle = 94, time = 2.824310e-05, dt=3.473138e-07
cycle = 95, time = 2.863609e-05, dt=3.929887e-07
cycle = 96, time = 2.902908e-05, dt=3.929887e-07
cycle = 97, time = 2.946791e-05, dt=4.388383e-07
cycle = 98, time = 2.990675e-05, dt=4.388383e-07
cycle = 99, time = 3.034559e-05, dt=4.388383e-07
cycle = 100, time = 3.083442e-05, dt=4.888315e-07
cycle = 101, time = 3.132325e-05, dt=4.888315e-07
cycle = 102, time = 3.181208e-05, dt=4.888315e-07
cycle = 103, time = 3.230092e-05, dt=4.888315e-07
cycle = 104, time = 3.278975e-05, dt=4.888315e-07
cycle = 105, time = 3.327858e-05, dt=4.888315e-07
cycle = 106, time = 3.376741e-05, dt=4.888315e-07
cycle = 107, time = 3.425624e-05, dt=4.888315e-07
cycle = 108, time = 3.474507e-05, dt=4.888315e-07
cycle = 109, time = 3.523390e-05, dt=4.888315e-07
cycle = 110, time = 3.572274e-05, dt=4.888315e-07
cycle = 111, time = 3.621157e-05, dt=4.888315e-07
cycle = 112, time = 3.670040e-05, dt=4.888315e-07
cycle = 113, time = 3.718923e-05, dt=4.888315e-07
cycle = 114, time = 3.767806e-05, dt=4.888315e-07
cycle = 115, time = 3.821946e-05, dt=5.413963e-07
cycle = 116, time = 3.876085e-05, dt=5.413963e-07
cycle = 117, time = 3.930225e-05, dt=5.413963e-07
cycle = 118, time = 3.983412e-05, dt=5.318645e-07
cycle = 119, time = 4.035340e-05, dt=5.192866e-07
cycle = 120, time = 4.086154e-05, dt=5.081379e-07
cycle = 121, time = 4.135993e-05, dt=4.983926e-07
cycle = 122, time = 4.184990e-05, dt=4.899664e-07
cycle = 123, time = 4.233267e-05, dt=4.827734e-07
cycle = 124, time = 4.280943e-05, dt=4.767579e-07
cycle = 125, time = 4.328133e-05, dt=4.719026e-07
cycle = 126, time = 4.374998e-05, dt=4.686426e-07
cycle = 127, time = 4.421706e-05, dt=4.670822e-07
cycle = 128, time = 4.468414e-05, dt=4.670822e-07
cycle = 129, time = 4.515122e-05, dt=4.670822e-07
cycle = 130, time = 4.561830e-05, dt=4.670822e-07
cycle = 131, time = 4.608539e-05, dt=4.670822e-07
cycle = 132, time = 4.655247e-05, dt=4.670822e-07
cycle = 133, time = 4.701955e-05, dt=4.670822e-07
cycle = 134, time = 4.748663e-05, dt=4.670822e-07
cycle = 135, time = 4.801501e-05, dt=5.283753e-07
cycle = 136, time = 4.854338e-05, dt=5.283753e-07
cycle = 137, time = 4.907176e-05, dt=5.283753e-07
cycle = 138, time = 4.960013e-05, dt=5.283753e-07
cycle = 139, time = 5.018333e-05, dt=5.831974e-07
cycle = 140, time = 5.076653e-05, dt=5.831974e-07
cycle = 141, time = 5.134973e-05, dt=5.831974e-07
cycle = 142, time = 5.193292e-05, dt=5.831974e-07
cycle = 143, time = 5.251612e-05, dt=5.831974e-07
cycle = 144, time = 5.309932e-05, dt=5.831974e-07
cycle = 145, time = 5.368252e-05, dt=5.831974e-07
cycle = 146, time = 5.426571e-05, dt=5.831974e-07
cycle = 147, time = 5.484891e-05, dt=5.831974e-07
cycle = 148, time = 5.549474e-05, dt=6.458317e-07
cycle = 149, time = 5.614057e-05, dt=6.458317e-07
cycle = 150, time = 5.678641e-05, dt=6.458317e-07
cycle = 151, time = 5.743224e-05, dt=6.458317e-07
cycle = 152, time = 5.807807e-05, dt=6.458317e-07
cycle = 153, time = 5.872390e-05, dt=6.458317e-07
cycle = 154, time = 5.936973e-05, dt=6.458317e-07
cycle = 155, time = 6.001556e-05, dt=6.458317e-07
cycle = 156, time = 6.066140e-05, dt=6.458317e-07
cycle = 157, time = 6.130723e-05, dt=6.458317e-07
cycle = 158, time = 6.195306e-05, dt=6.458317e-07
cycle = 159, time = 6.259889e-05, dt=6.458317e-07
cycle = 160, time = 6.323610e-05, dt=6.372130e-07
cycle = 161, time = 6.385995e-05, dt=6.238492e-07
cycle = 162, time = 6.447226e-05, dt=6.123058e-07
cycle = 163, time = 6.507484e-05, dt=6.025812e-07
cycle = 164, time = 6.566943e-05, dt=5.945874e-07
cycle = 165, time = 6.625771e-05, dt=5.882821e-07
cycle = 166, time = 6.684137e-05, dt=5.836626e-07
cycle = 167, time = 6.742232e-05, dt=5.809485e-07
cycle = 168, time = 6.800252e-05, dt=5.801998e-07
cycle = 169, time = 6.858272e-05, dt=5.801998e-07
cycle = 170, time = 6.916292e-05, dt=5.801998e-07
cycle = 171, time = 6.974312e-05, dt=5.801998e-07
cycle = 172, time = 7.032332e-05, dt=5.801998e-07
cycle = 173, time = 7.090352e-05, dt=5.801998e-07
cycle = 174, time = 7.148372e-05, dt=5.801998e-07
cycle = 175, time = 7.212603e-05, dt=6.423137e-07
cycle = 176, time = 7.276835e-05, dt=6.423137e-07
cycle = 177, time = 7.341066e-05, dt=6.423137e-07
cycle = 178, time = 7.405297e-05, dt=6.423137e-07
cycle = 179, time = 7.469529e-05, dt=6.423137e-07
cycle = 180, time = 7.541297e-05, dt=7.176818e-07
cycle = 181, time = 7.613065e-05, dt=7.176818e-07
cycle = 182, time = 7.684833e-05, dt=7.176818e-07
cycle = 183, time = 7.756602e-05, dt=7.176818e-07
cycle = 184, time = 7.828370e-05, dt=7.176818e-07
cycle = 185, time = 7.900138e-05, dt=7.176818e-07
cycle = 186, time = 7.971906e-05, dt=7.176818e-07
cycle = 187, time = 8.043674e-05, dt=7.176818e-07
cycle = 188, time = 8.115442e-05, dt=7.176818e-07
cycle = 189, time = 8.187211e-05, dt=7.176818e-07
cycle = 190, time = 8.258979e-05, dt=7.176818e-07
cycle = 191, time = 8.330747e-05, dt=7.176818e-07
cycle = 192, time = 8.410311e-05, dt=7.956446e-07
cycle = 193, time = 8.489876e-05, dt=7.956446e-07
cycle = 194, time = 8.569440e-05, dt=7.956446e-07
cycle = 195, time = 8.649005e-05, dt=7.956446e-07
cycle = 196, time = 8.728569e-05, dt=7.956446e-07
cycle = 197, time = 8.808134e-05, dt=7.956446e-07
cycle = 198, time = 8.887698e-05, dt=7.956446e-07
cycle = 199, time = 8.965941e-05, dt=7.824243e-07
cycle = 200, time = 9.042267e-05, dt=7.632664e-07
cycle = 201, time = 9.116857e-05, dt=7.459008e-07
cycle = 202, time = 9.189892e-05, dt=7.303471e-07
cycle = 203, time = 9.261573e-05, dt=7.168134e-07
cycle = 204, time = 9.332138e-05, dt=7.056467e-07
cycle = 205, time = 9.401812e-05, dt=6.967374e-07
cycle = 206, time = 9.470814e-05, dt=6.900251e-07
cycle = 207, time = 9.539365e-05, dt=6.855122e-07
cycle = 208, time = 9.607692e-05, dt=6.832656e-07
cycle = 209, time = 9.676019e-05, dt=6.832656e-07
cycle = 210, time = 9.744345e-05, dt=6.832656e-07
cycle = 211, time = 9.812672e-05, dt=6.832656e-07
cycle = 212, time = 9.880998e-05, dt=6.832656e-07
cycle = 213, time = 9.949325e-05, dt=6.832656e-07
cycle = 214, time = 1.001765e-04, dt=6.832656e-07
cycle = 215, time = 1.008598e-04, dt=6.832656e-07
cycle = 216, time = 1.016247e-04, dt=7.648803e-07
cycle = 217, time = 1.023895e-04, dt=7.648803e-07
cycle = 218, time = 1.031544e-04, dt=7.648803e-07
cycle = 219, time = 1.039193e-04, dt=7.648803e-07
cycle = 220, time = 1.046842e-04, dt=7.648803e-07
cycle = 221, time = 1.055421e-04, dt=8.579462e-07
cycle = 222, time = 1.064001e-04, dt=8.579462e-07
cycle = 223, time = 1.072580e-04, dt=8.579462e-07
cycle = 224, time = 1.081160e-04, dt=8.579462e-07
cycle = 225, time = 1.089739e-04, dt=8.579462e-07
cycle = 226, time = 1.098319e-04, dt=8.579462e-07
cycle = 227, time = 1.106898e-04, dt=8.579462e-07
cycle = 228, time = 1.115478e-04, dt=8.579462e-07
cycle = 229, time = 1.124057e-04, dt=8.579462e-07
cycle = 230, time = 1.132636e-04, dt=8.579462e-07
cycle = 231, time = 1.141216e-04, dt=8.579462e-07
cycle = 232, time = 1.149795e-04, dt=8.579462e-07
cycle = 233, time = 1.158375e-04, dt=8.579462e-07
cycle = 234, time = 1.167843e-04, dt=9.468389e-07
cycle = 235, time = 1.177303e-04, dt=9.460014e-07
cycle = 236, time = 1.186763e-04, dt=9.459538e-07
cycle = 237, time = 1.196222e-04, dt=9.459538e-07
cycle = 238, time = 1.205682e-04, dt=9.459538e-07
cycle = 239, time = 1.215141e-04, dt=9.459538e-07
cycle = 240, time = 1.224601e-04, dt=9.459538e-07
cycle = 241, time = 1.234060e-04, dt=9.459538e-07
cycle = 242, time = 1.243520e-04, dt=9.459538e-07
cycle = 243, time = 1.252980e-04, dt=9.459538e-07
cycle = 244, time = 1.262439e-04, dt=9.459538e-07
cycle = 245, time = 1.271790e-04, dt=9.351279e-07
cycle = 246, time = 1.280954e-04, dt=9.164029e-07
cycle = 247, time = 1.289953e-04, dt=8.998596e-07
cycle = 248, time = 1.298809e-04, dt=8.855781e-07
cycle = 249, time = 1.307544e-04, dt=8.734902e-07
cycle = 250, time = 1.316179e-04, dt=8.635563e-07
cycle = 251, time = 1.324745e-04, dt=8.565346e-07
cycle = 252, time = 1.333270e-04, dt=8.525631e-07
cycle = 253, time = 1.341788e-04, dt=8.517469e-07
cycle = 254, time = 1.350305e-04, dt=8.517469e-07
cycle = 255, time = 1.358823e-04, dt=8.517469e-07
cycle = 256, time = 1.367340e-04, dt=8.517469e-07
cycle = 257, time = 1.375858e-04, dt=8.517469e-07
cycle = 258, time = 1.384375e-04, dt=8.517469e-07
cycle = 259, time = 1.392892e-04, dt=8.517469e-07
cycle = 260, time = 1.402411e-04, dt=9.518410e-07
cycle = 261, time = 1.411929e-04, dt=9.518410e-07
cycle = 262, time = 1.421448e-04, dt=9.518410e-07
cycle = 263, time = 1.430966e-04, dt=9.518410e-07
cycle = 264, time = 1.440485e-04, dt=9.518410e-07
cycle = 265, time = 1.450003e-04, dt=9.518410e-07
cycle = 266, time = 1.460474e-04, dt=1.047130e-06
cycle = 267, time = 1.470946e-04, dt=1.047130e-06
cycle = 268, time = 1.481417e-04, dt=1.047130e-06
cycle = 269, time = 1.491888e-04, dt=1.047130e-06
cycle = 270, time = 1.502359e-04, dt=1.047130e-06
cycle = 271, time = 1.512831e-04, dt=1.047130e-06
cycle = 272, time = 1.523302e-04, dt=1.047130e-06
cycle = 273, time = 1.533773e-04, dt=1.047130e-06
cycle = 274, time = 1.544245e-04, dt=1.047130e-06
cycle = 275, time = 1.554716e-04, dt=1.047130e-06
cycle = 276, time = 1.565187e-04, dt=1.047130e-06
cycle = 277, time = 1.575659e-04, dt=1.047130e-06
cycle = 278, time = 1.586130e-04, dt=1.047130e-06
cycle = 279, time = 1.596601e-04, dt=1.047130e-06
cycle = 280, time = 1.607072e-04, dt=1.047130e-06
cycle = 281, time = 1.617544e-04, dt=1.047130e-06
cycle = 282, time = 1.629118e-04, dt=1.157434e-06
cycle = 283, time = 1.640628e-04, dt=1.151025e-06
cycle = 284, time = 1.652100e-04, dt=1.147190e-06
cycle = 285, time = 1.663572e-04, dt=1.147190e-06
cycle = 286, time = 1.675044e-04, dt=1.147190e-06
cycle = 287, time = 1.686516e-04, dt=1.147190e-06
cycle = 288, time = 1.697797e-04, dt=1.128104e-06
cycle = 289, time = 1.708842e-04, dt=1.104514e-06
cycle = 290, time = 1.719677e-04, dt=1.083454e-06
cycle = 291, time = 1.730326e-04, dt=1.064913e-06
cycle = 292, time = 1.740814e-04, dt=1.048772e-06
cycle = 293, time = 1.751165e-04, dt=1.035137e-06
cycle = 294, time = 1.761410e-04, dt=1.024499e-06
cycle = 295, time = 1.771578e-04, dt=1.016846e-06
cycle = 296, time = 1.781706e-04, dt=1.012803e-06
cycle = 297, time = 1.791832e-04, dt=1.012547e-06
cycle = 298, time = 1.801957e-04, dt=1.012547e-06
cycle = 299, time = 1.812083e-04, dt=1.012547e-06
cycle = 300, time = 1.822208e-04, dt=1.012547e-06
Run completed:
   Problem size        =  60
   MPI tasks           =  1
   Iteration count     =  300
   Final Origin Energy =  4.692246e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 6.984919e-10
        TotalAbsDiff = 4.896842e-09
        MaxRelDiff   = 5.846393e-12

Elapsed time         =         69 (s)
Grind time (us/z/c)  =  1.0638409 (per dom)  ( 68.936892 overall)
FOM                  =  939.99016 (z/s)

--------------------------------------------------------------------------------
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394318051 GHz,
TABLE,Region InitStressTermsForElems,Group 1 Raw,MEM_DP,26
Region Info,HWThread 0,
RDTSC Runtime [s],0.178333,
call count,300,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,845450600
CPU_CLK_UNHALTED_CORE,FIXC1,426607800
CPU_CLK_UNHALTED_REF,FIXC2,426618700
TOPDOWN_SLOTS,FIXC3,2133032000
PWR_PKG_ENERGY,PWR0,24.0185
PWR_DRAM_ENERGY,PWR3,2.1793
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,64809600
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
CAS_COUNT_RD,MBOX0C0,1943282
CAS_COUNT_WR,MBOX0C1,1444033
CAS_COUNT_RD,MBOX1C0,1963921
CAS_COUNT_WR,MBOX1C1,1454760
CAS_COUNT_RD,MBOX2C0,0
CAS_COUNT_WR,MBOX2C1,0
CAS_COUNT_RD,MBOX3C0,1964643
CAS_COUNT_WR,MBOX3C1,1425480
CAS_COUNT_RD,MBOX4C0,1975257
CAS_COUNT_WR,MBOX4C1,1440508
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,825
CAS_COUNT_WR,MBOX6C1,863
CAS_COUNT_RD,MBOX7C0,821
CAS_COUNT_WR,MBOX7C1,850
TABLE,Region InitStressTermsForElems,Group 1 Metric,MEM_DP,20
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1783,
Runtime unhalted [s],0.1782,
Clock [MHz],2394.2569,
CPI,0.5046,
Energy [J],24.0185,
Power [W],134.6833,
Energy DRAM [J],2.1793,
Power DRAM [W],12.2202,
DP [MFLOP/s],363.4188,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],363.4188,
Memory read bandwidth [MBytes/s],2816.7510,
Memory read data volume [GBytes],0.5023,
Memory write bandwidth [MBytes/s],2069.4735,
Memory write data volume [GBytes],0.3691,
Memory bandwidth [MBytes/s],4886.2244,
Memory data volume [GBytes],0.8714,
Operational intensity [FLOP/Byte],0.0744,
Vectorization ratio [%],0,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394318051 GHz,
TABLE,Region IntegrateStressForElems,Group 1 Raw,MEM_DP,26
Region Info,HWThread 0,
RDTSC Runtime [s],6.028566,
call count,300,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,38623850000
CPU_CLK_UNHALTED_CORE,FIXC1,14398540000
CPU_CLK_UNHALTED_REF,FIXC2,14398590000
TOPDOWN_SLOTS,FIXC3,71992950000
PWR_PKG_ENERGY,PWR0,588.3148
PWR_DRAM_ENERGY,PWR3,49.1396
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,25012810000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
CAS_COUNT_RD,MBOX0C0,21174460
CAS_COUNT_WR,MBOX0C1,7662648
CAS_COUNT_RD,MBOX1C0,21143920
CAS_COUNT_WR,MBOX1C1,7648718
CAS_COUNT_RD,MBOX2C0,0
CAS_COUNT_WR,MBOX2C1,0
CAS_COUNT_RD,MBOX3C0,21150740
CAS_COUNT_WR,MBOX3C1,7653373
CAS_COUNT_RD,MBOX4C0,21103670
CAS_COUNT_WR,MBOX4C1,7615456
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,29636
CAS_COUNT_WR,MBOX6C1,33248
CAS_COUNT_RD,MBOX7C0,28650
CAS_COUNT_WR,MBOX7C1,32042
TABLE,Region IntegrateStressForElems,Group 1 Metric,MEM_DP,20
Metric,HWThread 0,
Runtime (RDTSC) [s],6.0286,
Runtime unhalted [s],6.0136,
Clock [MHz],2394.3097,
CPI,0.3728,
Energy [J],588.3148,
Power [W],97.5879,
Energy DRAM [J],49.1396,
Power DRAM [W],8.1511,
DP [MFLOP/s],4149.0480,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],4149.0480,
Memory read bandwidth [MBytes/s],898.4539,
Memory read data volume [GBytes],5.4164,
Memory write bandwidth [MBytes/s],325.3362,
Memory write data volume [GBytes],1.9613,
Memory bandwidth [MBytes/s],1223.7902,
Memory data volume [GBytes],7.3777,
Operational intensity [FLOP/Byte],3.3903,
Vectorization ratio [%],0,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394318051 GHz,
TABLE,Region CalcHourglassControlForElems,Group 1 Raw,MEM_DP,26
Region Info,HWThread 0,
RDTSC Runtime [s],7.438352,
call count,300,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,26312750000
CPU_CLK_UNHALTED_CORE,FIXC1,9573275000
CPU_CLK_UNHALTED_REF,FIXC2,9573250000
TOPDOWN_SLOTS,FIXC3,47867180000
PWR_PKG_ENERGY,PWR0,743.8303
PWR_DRAM_ENERGY,PWR3,68.8482
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,21060010000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
CAS_COUNT_RD,MBOX0C0,151509400
CAS_COUNT_WR,MBOX0C1,119599700
CAS_COUNT_RD,MBOX1C0,151523600
CAS_COUNT_WR,MBOX1C1,119658200
CAS_COUNT_RD,MBOX2C0,0
CAS_COUNT_WR,MBOX2C1,0
CAS_COUNT_RD,MBOX3C0,151594800
CAS_COUNT_WR,MBOX3C1,119683200
CAS_COUNT_RD,MBOX4C0,151634200
CAS_COUNT_WR,MBOX4C1,119767900
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,35240
CAS_COUNT_WR,MBOX6C1,37209
CAS_COUNT_RD,MBOX7C0,33799
CAS_COUNT_WR,MBOX7C1,35898
TABLE,Region CalcHourglassControlForElems,Group 1 Metric,MEM_DP,20
Metric,HWThread 0,
Runtime (RDTSC) [s],7.4384,
Runtime unhalted [s],3.9983,
Clock [MHz],2394.3243,
CPI,0.3638,
Energy [J],743.8303,
Power [W],99.9993,
Energy DRAM [J],68.8482,
Power DRAM [W],9.2558,
DP [MFLOP/s],2831.2736,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],2831.2736,
Memory read bandwidth [MBytes/s],5216.9064,
Memory read data volume [GBytes],38.8052,
Memory write bandwidth [MBytes/s],4119.4682,
Memory write data volume [GBytes],30.6421,
Memory bandwidth [MBytes/s],9336.3747,
Memory data volume [GBytes],69.4472,
Operational intensity [FLOP/Byte],0.3033,
Vectorization ratio [%],0,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394318051 GHz,
TABLE,Region CalcFBHourglassForceForElems,Group 1 Raw,MEM_DP,26
Region Info,HWThread 0,
RDTSC Runtime [s],7.030148,
call count,300,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,47436670000
CPU_CLK_UNHALTED_CORE,FIXC1,16790090000
CPU_CLK_UNHALTED_REF,FIXC2,16790200000
TOPDOWN_SLOTS,FIXC3,83951460000
PWR_PKG_ENERGY,PWR0,696.2144
PWR_DRAM_ENERGY,PWR3,61.2755
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,27216010000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,6544800000
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0
CAS_COUNT_RD,MBOX0C0,124247000
CAS_COUNT_WR,MBOX0C1,28170630
CAS_COUNT_RD,MBOX1C0,124253500
CAS_COUNT_WR,MBOX1C1,28205040
CAS_COUNT_RD,MBOX2C0,0
CAS_COUNT_WR,MBOX2C1,0
CAS_COUNT_RD,MBOX3C0,124263100
CAS_COUNT_WR,MBOX3C1,28146610
CAS_COUNT_RD,MBOX4C0,124275100
CAS_COUNT_WR,MBOX4C1,28186300
